provience,district,city,month
western,gampaha,kadwatha,jan
western,gampaha,kiribathgoda,jan
western,gampaha,gampaha,jan
western,gampaha,wattala,jan
western,gampaha,ja-ela,jan
western,gampaha,nittambuwa,jan
western,gampaha,peliyagoda,jan
western,gampaha,kelaniya,jan
western,gampaha,biyagama,jan
western,gampaha,kadwatha,jan
western,gampaha,kiribathgoda,jan
western,gampaha,gampaha,feb
western,gampaha,wattala,feb
western,gampaha,ja-ela,feb
western,gampaha,nittambuwa,feb
western,gampaha,peliyagoda,feb
western,gampaha,kelaniya,feb
western,gampaha,biyagama,feb
western,gampaha,kadwatha,feb
western,gampaha,kiribathgoda,feb
western,gampaha,gampaha,feb
western,gampaha,wattala,feb
western,gampaha,ja-ela,mar
western,gampaha,nittambuwa,mar
western,gampaha,peliyagoda,mar
western,gampaha,kelaniya,mar
western,gampaha,biyagama,mar
western,gampaha,kadwatha,mar
western,gampaha,kiribathgoda,mar
western,gampaha,gampaha,mar
western,gampaha,wattala,mar
western,gampaha,ja-ela,mar
western,gampaha,nittambuwa,apr
western,gampaha,peliyagoda,apr
western,gampaha,kelaniya,apr
western,gampaha,biyagama,apr
western,gampaha,kadwatha,apr
western,gampaha,kiribathgoda,apr
western,gampaha,gampaha,apr
western,gampaha,wattala,apr
western,gampaha,ja-ela,apr
western,gampaha,nittambuwa,apr
western,gampaha,peliyagoda,apr
western,gampaha,kelaniya,apr
western,gampaha,biyagama,apr
western,gampaha,kadwatha,may
western,gampaha,kiribathgoda,may
western,gampaha,gampaha,may
western,gampaha,wattala,may
western,gampaha,ja-ela,may
western,gampaha,nittambuwa,may
western,gampaha,peliyagoda,may
western,gampaha,kelaniya,may
western,gampaha,biyagama,may
western,gampaha,kadwatha,may
western,gampaha,kiribathgoda,may
western,gampaha,gampaha,may
western,gampaha,wattala,may
western,gampaha,ja-ela,jun
western,gampaha,nittambuwa,jun
western,gampaha,peliyagoda,jun
western,gampaha,kelaniya,jun
western,gampaha,biyagama,jun
western,gampaha,kadwatha,jun
western,gampaha,kiribathgoda,jun
western,gampaha,gampaha,jun
western,gampaha,wattala,jun
western,gampaha,ja-ela,jun
western,gampaha,nittambuwa,jun
western,gampaha,peliyagoda,jun
western,gampaha,kelaniya,jun
western,gampaha,biyagama,jul
western,gampaha,kadwatha,jul
western,gampaha,kiribathgoda,jul
western,gampaha,gampaha,jul
western,gampaha,wattala,jul
western,gampaha,ja-ela,jul
western,gampaha,nittambuwa,jul
western,gampaha,peliyagoda,jul
western,gampaha,kelaniya,jul
western,gampaha,biyagama,jul
western,gampaha,kadwatha,jul
western,gampaha,kiribathgoda,jul
western,gampaha,gampaha,jul
western,gampaha,wattala,aug
western,gampaha,ja-ela,aug
western,gampaha,nittambuwa,aug
western,gampaha,peliyagoda,aug
western,gampaha,kelaniya,aug
western,gampaha,biyagama,aug
western,gampaha,kadwatha,aug
western,gampaha,kiribathgoda,aug
western,gampaha,gampaha,aug
western,gampaha,wattala,aug
western,gampaha,ja-ela,aug
western,gampaha,nittambuwa,aug
western,gampaha,peliyagoda,aug
western,gampaha,kelaniya,sep
western,gampaha,biyagama,sep
western,gampaha,kadwatha,sep
western,gampaha,kiribathgoda,sep
western,gampaha,gampaha,sep
western,gampaha,wattala,sep
western,gampaha,ja-ela,sep
western,gampaha,nittambuwa,sep
western,gampaha,peliyagoda,sep
western,gampaha,kelaniya,sep
western,gampaha,biyagama,sep
western,gampaha,kadwatha,oct
western,gampaha,kiribathgoda,oct
western,gampaha,gampaha,oct
western,gampaha,wattala,oct
western,gampaha,ja-ela,oct
western,gampaha,nittambuwa,oct
western,gampaha,peliyagoda,oct
western,gampaha,kelaniya,oct
western,gampaha,biyagama,oct
western,gampaha,kadwatha,oct
western,gampaha,kiribathgoda,oct
western,gampaha,kadwatha,nov
western,gampaha,kiribathgoda,nov
western,gampaha,gampaha,nov
western,gampaha,wattala,nov
western,gampaha,ja-ela,nov
western,gampaha,nittambuwa,nov
western,gampaha,peliyagoda,nov
western,gampaha,kelaniya,nov
western,gampaha,biyagama,nov
western,gampaha,kadwatha,nov
western,gampaha,kiribathgoda,nov
western,gampaha,kadwatha,des
western,gampaha,kiribathgoda,des
western,gampaha,gampaha,des
western,gampaha,wattala,des
western,gampaha,ja-ela,des
western,gampaha,nittambuwa,des
western,gampaha,peliyagoda,des
western,gampaha,kelaniya,des
western,gampaha,biyagama,des
western,gampaha,kadwatha,des
western,gampaha,kiribathgoda,des
